symptom,display_name,source_file,phase,order,question_id,field,code,ui_label,question_text,response_type,question_role,dedup_family,canonical_concept,parent_field,detail_field,if_positive_ask,skip_if,ask_if
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,1,onset,onset,EVENT-001,Onset,When did it start?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,onset,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,2,pattern,pattern,EVENT-003,Pattern,"Is the pain constant, or does it come and go in episodes?",SHORT_TEXT,qualifier,,pattern,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,3,episode_duration,episode_duration,EVENT-004,Episode duration,"When it comes, how long does each episode last?",TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,detail,,episode_duration,pattern,,,FIELD_ALREADY_CAPTURED|PATTERN_NOT_EPISODIC,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,4,duration,duration,EVENT-002,Duration,How long has this been going on altogether?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,duration,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,5,location,location,PAIN-014,Location,Where exactly is the pain?,SHORT_TEXT,qualifier,ros:location,location,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,6,severity,severity,PAIN-015,Severity,How severe is it from 0 to 10?,SCALE_0_10,qualifier,,severity,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,7,character,character,PAIN-016,Character,"What does the abdominal pain feel like, for example throbbing, sharp, dull, burning, cramping, pressure-like, stabbing, or aching?",SHORT_TEXT,qualifier,,character,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,8,radiation,radiation,PAIN-017,Radiation,"Does the pain travel anywhere else, such as the back, groin, chest, shoulder, or leg? If yes, where?",SHORT_TEXT,qualifier,,radiation,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,9,aggravating_factors,aggravating_factors,PAIN-018,Aggravating factors,"What makes it worse, such as movement, coughing, eating, urinating, passing stool, touching it, or nothing?",SHORT_TEXT,qualifier,,aggravating_factors,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,10,relieving_factors,relieving_factors,PAIN-019,Relieving factors,"What makes it better, such as rest, lying still, medicines, food, passing urine or stool, or nothing?",SHORT_TEXT,qualifier,,relieving_factors,,,,FIELD_ALREADY_CAPTURED,
